0,0.062275,0,0,0,0
1,0.032663,0,0,0,0
2,0.12331,0,0,0,0
3,0.130701,0,0,0,0
4,-0.003672,0,0,0,0
5,0.085592,0,0,0,0
6,0.080204,0,0,0,0
7,0.083399,0,0,0,0
8,0.089264,0,0,0,0
9,0.095797,0,0,0,0
10,0.079966,0,0,0,0
11,0.073147,0,0,0,0
12,0.074148,0,0,0,0
13,0.071669,0,0,0,0
14,0.078106,0,0,0,0
0,0,0,0,0,0.0
0,0,0,0,1,0.0
0,0,0,0,2,0.0
0,0,0,0,3,0.0
0,0,0,0,4,0.0
15,0.073051,0,0,0,0
16,0.073433,0,0,0,0
17,0.071478,0,0,0,0
18,0.076103,0,0,0,0
19,0.076818,0,0,0,0
0,0,0,0,5,0.0
0,0,0,0,6,0.0
0,0,0,0,7,0.0
0,0,0,0,8,0.0
0,0,0,0,9,0.0
20,0.065517,0,0,0,0
21,0.074291,0,0,0,0
22,0.071573,0,0,0,0
23,0.068855,0,0,0,0
24,0.071764,0,0,0,0
0,0,0,0,10,0.0
0,0,0,0,11,0.0
0,0,0,0,12,0.0
0,0,0,0,13,0.0
0,0,0,0,14,0.0
25,0.06423,0,0,0,0
26,0.064421,0,0,0,0
27,0.058174,0,0,0,0
28,0.061703,0,0,0,0
29,0.076342,0,0,0,0
0,0,0,0,15,0.0
0,0,0,0,16,0.0
0,0,0,0,17,0.0
0,0,0,0,18,0.0
0,0,0,0,19,0.0
30,0.057936,0,0,0,0
31,0.062037,0,0,0,0
32,0.068283,0,0,0,0
33,0.068188,0,0,0,0
34,0.073767,0,0,0,0
0,0,0,0,20,0.0
0,0,0,0,21,0.0
0,0,0,0,22,0.0
0,0,0,0,23,0.0
0,0,0,0,24,0.0
35,0.063419,0,0,0,0
36,0.066996,0,0,0,0
37,0.067568,0,0,0,0
38,0.072241,0,0,0,0
39,0.067139,0,0,0,0
0,0,0,0,25,0.0
0,0,0,0,26,0.0
0,0,0,0,27,0.0
0,0,0,0,28,0.0
0,0,0,0,29,0.0
40,0.019169,0,0,0,0
41,0.016594,0,0,0,0
42,0.020504,0,0,0,0
43,0.024557,0,0,0,0
44,0.032282,0,0,0,0
0,0,0,0,30,0.0
0,0,0,0,31,0.0
0,0,0,0,32,0.0
0,0,0,0,33,0.0
0,0,0,0,34,0.0
45,0.017405,0,0,0,0
46,0.021172,0,0,0,0
47,0.025129,0,0,0,0
48,0.023556,0,0,0,0
49,0.022888,0,0,0,0
0,0,0,0,35,0.0
0,0,0,0,36,0.0
0,0,0,0,37,0.0
0,0,0,0,38,0.0
0,0,0,0,39,0.0
50,0.016117,0,0,0,0
51,0.028706,0,0,0,0
52,0.029325,0,0,0,0
53,0.031281,0,0,0,0
54,0.030422,0,0,0,0
55,0.025892,0,0,0,0
56,0.020027,0,0,0,0
57,0.021935,0,0,0,0
0,0,0,0,40,0.0
0,0,0,0,41,0.0
0,0,0,0,42,0.0
0,0,0,0,43,0.0
0,0,0,0,44,0.0
58,0.020933,0,0,0,0
59,0.019979,0,0,0,0
60,0.02532,0,0,0,0
61,0.029278,0,0,0,0
62,0.026608,0,0,0,0
0,0,0,0,45,0.0
0,0,0,0,46,0.0
0,0,0,0,47,0.0
0,0,0,0,48,0.0
0,0,0,0,49,0.0
63,0.030851,0,0,0,0
64,0.023365,0,0,0,0
65,0.019455,0,0,0,0
66,0.019455,0,0,0,0
67,0.024891,0,0,0,0
0,0,0,0,50,0.0
0,0,0,0,51,0.0
0,0,0,0,52,0.0
0,0,0,0,53,0.0
0,0,0,0,54,0.0
68,0.01936,0,0,0,0
69,0.011969,0,0,0,0
70,0.016356,0,0,0,0
71,0.01688,0,0,0,0
72,0.009346,0,0,0,0
0,0,0,0,55,0.0
0,0,0,0,56,0.0
0,0,0,0,57,0.0
0,0,0,0,58,0.0
0,0,0,0,59,0.0
73,0.00906,0,0,0,0
74,0.013494,0,0,0,0
75,0.004196,0,0,0,0
76,0.004673,0,0,0,0
77,0.010824,0,0,0,0
0,0,0,0,60,0.0
0,0,0,0,61,0.0
0,0,0,0,62,0.0
0,0,0,0,63,0.0
0,0,0,0,64,0.0
78,-0.000906,0,0,0,0
79,0.00186,0,0,0,0
80,-0.000238,0,0,0,0
81,0.005245,0,0,0,0
82,0.005531,0,0,0,0
0,0,0,0,65,0.0
0,0,0,0,66,0.0
0,0,0,0,67,0.0
0,0,0,0,68,0.0
0,0,0,0,69,0.0
83,0.004673,0,0,0,0
84,0.003386,0,0,0,0
85,-0.002384,0,0,0,0
86,0.001192,0,0,0,0
87,-0.000381,0,0,0,0
0,0,0,0,70,0.0
0,0,0,0,71,0.0
0,0,0,0,72,0.0
0,0,0,0,73,0.0
0,0,0,0,74,0.0
88,0.004387,0,0,0,0
89,0.005579,0,0,0,0
90,0.003624,0,0,0,0
91,0.00062,0,0,0,0
92,0.000668,0,0,0,0
0,0,0,0,75,0.0
0,0,0,0,76,0.0
0,0,0,0,77,0.0
0,0,0,0,78,0.0
0,0,0,0,79,0.0
93,0.005817,0,0,0,0
94,0.007772,0,0,0,0
95,0.003195,0,0,0,0
96,-0.000477,0,0,0,0
97,0.002718,0,0,0,0
98,0.027847,0,0,0,0
99,0.028992,0,0,0,0
100,0.029707,0,0,0,0
101,0.033045,0,0,0,0
102,0.033331,0,0,0,0
0,0,0,0,80,0.0
0,0,0,0,81,0.0
0,0,0,0,82,0.0
0,0,0,0,83,0.0
0,0,0,0,84,0.0
103,0.02985,0,0,0,0
104,0.031757,0,0,0,0
105,0.035143,0,0,0,0
106,0.03705,0,0,0,0
107,0.039387,0,0,0,0
0,0,0,0,85,0.0
0,0,0,0,86,0.0
0,0,0,0,87,0.0
0,0,0,0,88,0.0
0,0,0,0,89,0.0
108,0.039434,0,0,0,0
109,0.035763,0,0,0,0
110,0.029469,0,0,0,0
111,0.03643,0,0,0,0
112,0.037432,0,0,0,0
0,0,0,0,90,0.0
0,0,0,0,91,0.0
0,0,0,0,92,0.0
0,0,0,0,93,0.0
0,0,0,0,94,0.0
113,0.027323,0,0,0,0
114,0.032663,0,0,0,0
115,0.035095,0,0,0,0
116,0.028515,0,0,0,0
117,0.035334,0,0,0,0
0,0,0,0,95,0.0
0,0,0,0,96,0.0
0,0,0,0,97,0.0
0,0,0,0,98,0.0
0,0,0,0,99,0.0
118,0.036478,0,0,0,0
119,0.03767,0,0,0,0
120,0.044489,0,0,0,0
121,0.046349,0,0,0,0
122,0.037384,0,0,0,0
0,0,0,0,100,0.0
0,0,0,0,101,0.0
0,0,0,0,102,0.0
0,0,0,0,103,0.0
0,0,0,0,104,0.0
123,0.038338,0,0,0,0
124,0.033569,0,0,0,0
125,0.035238,0,0,0,0
126,0.037527,0,0,0,0
127,0.040579,0,0,0,0
0,0,0,0,105,0.0
0,0,0,0,106,0.0
0,0,0,0,107,0.0
0,0,0,0,108,0.0
0,0,0,0,109,0.0
128,0.038719,0,0,0,0
129,0.03624,0,0,0,0
130,0.037193,0,0,0,0
131,0.036573,0,0,0,0
132,0.040817,0,0,0,0
0,0,0,0,110,0.0
0,0,0,0,111,0.0
0,0,0,0,112,0.0
0,0,0,0,113,0.0
0,0,0,0,114,0.0
133,0.047016,0,0,0,0
134,0.041246,0,0,0,0
135,0.039768,0,0,0,0
136,0.046206,0,0,0,0
137,0.047255,0,0,0,0
0,0,0,0,115,0.0
0,0,0,0,116,0.0
0,0,0,0,117,0.0
0,0,0,0,118,0.0
0,0,0,0,119,0.0
138,-0.140762,0,0,0,0
139,-0.130653,0,0,0,0
140,-0.124884,0,0,0,0
141,-0.124025,0,0,0,0
142,-0.115013,0,0,0,0
0,0,0,0,120,0.0
0,0,0,0,121,0.0
0,0,0,0,122,0.0
0,0,0,0,123,0.0
0,0,0,0,124,0.0
143,-0.044537,0,0,0,0
144,-0.048161,0,0,0,0
145,-0.045681,0,0,0,0
146,-0.038385,0,0,0,0
147,-0.046396,0,0,0,0
0,0,0,0,125,0.0
0,0,0,0,126,0.0
0,0,0,0,127,0.0
0,0,0,0,128,0.0
0,0,0,0,129,0.0
148,-0.026608,0,0,0,0
149,-0.033236,0,0,0,0
150,-0.031185,0,0,0,0
151,-0.026798,0,0,0,0
152,-0.022268,0,0,0,0
0,0,0,0,130,0.0
0,0,0,0,131,0.0
0,0,0,0,132,0.0
0,0,0,0,133,0.0
0,0,0,0,134,0.0
153,-0.013113,0,0,0,0
154,-0.008869,0,0,0,0
155,-0.016499,0,0,0,0
156,-0.016069,0,0,0,0
157,-0.014067,0,0,0,0
0,0,0,0,135,0.0
0,0,0,0,136,0.0
0,0,0,0,137,0.0
0,0,0,0,138,0.0
0,0,0,0,139,0.0
158,0.019121,0,0,0,0
159,0.019836,0,0,0,0
160,0.023699,0,0,0,0
161,0.027084,0,0,0,0
162,0.03109,0,0,0,0
0,0,0,0,140,0.0
0,0,0,0,141,0.0
0,0,0,0,142,0.0
0,0,0,0,143,0.0
0,0,0,0,144,0.0
163,0.025177,0,0,0,0
164,0.029516,0,0,0,0
165,0.039244,0,0,0,0
166,0.036526,0,0,0,0
167,0.025892,0,0,0,0
0,0,0,0,145,0.0
0,0,0,0,146,0.0
0,0,0,0,147,0.0
0,0,0,0,148,0.0
0,0,0,0,149,0.0
168,0.029373,0,0,0,0
169,0.03376,0,0,0,0
170,0.036192,0,0,0,0
171,0.035858,0,0,0,0
172,0.038862,0,0,0,0
0,0,0,0,150,0.0
0,0,0,0,151,0.0
0,0,0,0,152,0.0
0,0,0,0,153,0.0
0,0,0,0,154,0.0
173,0.041723,0,0,0,0
174,0.046206,0,0,0,0
175,0.048065,0,0,0,0
176,0.050735,0,0,0,0
177,0.0494,0,0,0,0
0,0,0,0,155,0.0
0,0,0,0,156,0.0
0,0,0,0,157,0.0
0,0,0,0,158,0.0
0,0,0,0,159,0.0
178,0.043344,0,0,0,0
179,0.04549,0,0,0,0
180,0.049162,0,0,0,0
181,0.046587,0,0,0,0
182,0.045872,0,0,0,0
0,0,0,0,160,0.0
0,0,0,0,161,0.0
0,0,0,0,162,0.0
0,0,0,0,163,0.0
0,0,0,0,164,0.0
183,0.047255,0,0,0,0
184,0.045204,0,0,0,0
185,0.049686,0,0,0,0
186,0.05374,0,0,0,0
187,0.057125,0,0,0,0
0,0,0,0,165,0.0
0,0,0,0,166,0.0
0,0,0,0,167,0.0
0,0,0,0,168,0.0
0,0,0,0,169,0.0
188,0.048876,0,0,0,0
189,0.048399,0,0,0,0
190,0.048685,0,0,0,0
191,0.046444,0,0,0,0
192,0.045824,0,0,0,0
0,0,0,0,170,0.0
0,0,0,0,171,0.0
0,0,0,0,172,0.0
0,0,0,0,173,0.0
0,0,0,0,174,0.0
193,0.054169,0,0,0,0
194,0.050879,0,0,0,0
195,0.05126,0,0,0,0
196,0.053692,0,0,0,0
197,0.047779,0,0,0,0
0,0,0,0,175,0.0
0,0,0,0,176,0.0
0,0,0,0,177,0.0
0,0,0,0,178,0.0
0,0,0,0,179,0.0
198,0.056458,0,0,0,0
199,0.055313,0,0,0,0
200,0.049353,0,0,0,0
201,0.048876,0,0,0,0
202,0.055075,0,0,0,0
0,0,0,0,180,0.0
0,0,0,0,181,0.0
0,0,0,0,182,0.0
0,0,0,0,183,0.0
0,0,0,0,184,0.0
203,0.06299,0,0,0,0
204,0.066185,0,0,0,0
205,0.05765,0,0,0,0
206,0.057268,0,0,0,0
207,0.066471,0,0,0,0
0,0,0,0,185,0.0
0,0,0,0,186,0.0
0,0,0,0,187,0.0
0,0,0,0,188,0.0
0,0,0,0,189,0.0
208,0.067139,0,0,0,0
209,0.061417,0,0,0,0
210,0.065756,0,0,0,0
211,0.065565,0,0,0,0
212,0.062037,0,0,0,0
0,0,0,0,190,0.0
0,0,0,0,191,0.0
0,0,0,0,192,0.0
0,0,0,0,193,0.0
0,0,0,0,194,0.0
213,0.064421,0,0,0,0
214,0.061417,0,0,0,0
215,0.057936,0,0,0,0
216,0.057888,0,0,0,0
217,0.063086,0,0,0,0
0,0,0,0,195,0.0
0,0,0,0,196,0.0
0,0,0,0,197,0.0
0,0,0,0,198,0.0
0,0,0,0,199,0.0
218,0.059652,0,0,0,0
219,0.065374,0,0,0,0
220,0.064421,0,0,0,0
221,0.055742,0,0,0,0
222,0.056267,0,0,0,0
0,0,0,0,200,0.0
0,0,0,0,201,0.0
0,0,0,0,202,0.0
0,0,0,0,203,0.0
0,0,0,0,204,0.0
223,0.059414,0,0,0,0
224,0.055218,0,0,0,0
225,0.053024,0,0,0,0
226,0.052547,0,0,0,0
227,0.053644,0,0,0,0
0,0,0,0,205,0.0
0,0,0,0,206,0.0
0,0,0,0,207,0.0
0,0,0,0,208,0.0
0,0,0,0,209,0.0
228,0.026464,0,0,0,0
229,0.020838,0,0,0,0
230,0.026321,0,0,0,0
231,0.026608,0,0,0,0
232,0.014782,0,0,0,0
0,0,0,0,210,0.0
0,0,0,0,211,0.0
0,0,0,0,212,0.0
0,0,0,0,213,0.0
0,0,0,0,214,0.0
233,0.019932,0,0,0,0
234,0.021982,0,0,0,0
235,0.02408,0,0,0,0
236,0.019836,0,0,0,0
237,0.014734,0,0,0,0
0,0,0,0,215,0.0
0,0,0,0,216,0.0
0,0,0,0,217,0.0
0,0,0,0,218,0.0
0,0,0,0,219,0.0
238,0.0103,0,0,0,0
239,0.017691,0,0,0,0
240,0.015926,0,0,0,0
241,0.00701,0,0,0,0
242,0.00844,0,0,0,0
0,0,0,0,220,0.0
0,0,0,0,221,0.0
0,0,0,0,222,0.0
0,0,0,0,223,0.0
0,0,0,0,224,0.0
243,0.014496,0,0,0,0
244,0.010014,0,0,0,0
245,0.008488,0,0,0,0
246,0.0144,0,0,0,0
247,0.016642,0,0,0,0
0,0,0,0,225,0.0
0,0,0,0,226,0.0
0,0,0,0,227,0.0
0,0,0,0,228,0.0
0,0,0,0,229,0.0
248,0.012016,0,0,0,0
249,0.016451,0,0,0,0
250,0.013542,0,0,0,0
251,0.012779,0,0,0,0
252,0.018024,0,0,0,0
0,0,0,0,230,0.0
0,0,0,0,231,0.0
0,0,0,0,232,0.0
0,0,0,0,233,0.0
0,0,0,0,234,0.0
253,0.01359,0,0,0,0
254,0.018644,0,0,0,0
255,0.018692,0,0,0,0
256,0.018787,0,0,0,0
257,0.014591,0,0,0,0
0,0,0,0,235,0.0
0,0,0,0,236,0.0
0,0,0,0,237,0.0
0,0,0,0,238,0.0
0,0,0,0,239,0.0
258,0.00782,0,0,0,0
259,0.010443,0,0,0,0
260,0.014687,0,0,0,0
261,0.012732,0,0,0,0
262,0.005865,0,0,0,0
0,0,0,0,240,0.0
0,0,0,0,241,0.0
0,0,0,0,242,0.0
0,0,0,0,243,0.0
0,0,0,0,244,0.0
263,0.012875,0,0,0,0
264,0.007772,0,0,0,0
265,0.007677,0,0,0,0
266,0.017977,0,0,0,0
267,0.022078,0,0,0,0
0,0,0,0,245,0.0
0,0,0,0,246,0.0
0,0,0,0,247,0.0
0,0,0,0,248,0.0
0,0,0,0,249,0.0
268,0.007105,0,0,0,0
269,0.015783,0,0,0,0
270,0.021124,0,0,0,0
271,0.019073,0,0,0,0
272,0.014544,0,0,0,0
0,0,0,0,250,0.0
0,0,0,0,251,0.0
0,0,0,0,252,0.0
0,0,0,0,253,0.0
0,0,0,0,254,0.0
273,0.012112,0,0,0,0
274,0.018501,0,0,0,0
275,0.017405,0,0,0,0
276,0.018835,0,0,0,0
277,0.030947,0,0,0,0
0,0,0,0,255,0.0
0,0,0,0,256,0.0
0,0,0,0,257,0.0
0,0,0,0,258,0.0
0,0,0,0,259,0.0
278,0.025177,0,0,0,0
279,0.021362,0,0,0,0
280,0.01812,0,0,0,0
281,0.016737,0,0,0,0
282,0.013113,0,0,0,0
0,0,0,0,260,0.0
0,0,0,0,261,0.0
0,0,0,0,262,0.0
0,0,0,0,263,0.0
0,0,0,0,264,0.0
283,0.017262,0,0,0,0
284,0.017977,0,0,0,0
285,0.021029,0,0,0,0
286,0.019884,0,0,0,0
287,0.016832,0,0,0,0
0,0,0,0,265,0.0
0,0,0,0,266,0.0
0,0,0,0,267,0.0
0,0,0,0,268,0.0
0,0,0,0,269,0.0
288,0.022602,0,0,0,0
289,0.028944,0,0,0,0
290,0.022507,0,0,0,0
291,0.022459,0,0,0,0
292,0.026131,0,0,0,0
0,0,0,0,270,0.0
0,0,0,0,271,0.0
0,0,0,0,272,0.0
0,0,0,0,273,0.0
0,0,0,0,274,0.0
293,0.020647,0,0,0,0
294,0.024366,0,0,0,0
295,0.023317,0,0,0,0
296,0.023985,0,0,0,0
297,0.027704,0,0,0,0
0,0,0,0,275,0.0
0,0,0,0,276,0.0
0,0,0,0,277,0.0
0,0,0,0,278,0.0
0,0,0,0,279,0.0
298,0.031614,0,0,0,0
299,0.02923,0,0,0,0
300,0.024986,0,0,0,0
301,0.022364,0,0,0,0
302,0.028229,0,0,0,0
0,0,0,0,280,0.0
0,0,0,0,281,0.0
0,0,0,0,282,0.0
0,0,0,0,283,0.0
0,0,0,0,284,0.0
303,0.029564,0,0,0,0
304,0.029516,0,0,0,0
305,0.02737,0,0,0,0
306,0.030851,0,0,0,0
307,0.031471,0,0,0,0
0,0,0,0,285,0.0
0,0,0,0,286,0.0
0,0,0,0,287,0.0
0,0,0,0,288,0.0
0,0,0,0,289,0.0
308,0.029087,0,0,0,0
309,0.032854,0,0,0,0
310,0.03438,0,0,0,0
311,0.03047,0,0,0,0
312,0.031662,0,0,0,0
0,0,0,0,290,0.0
0,0,0,0,291,0.0
0,0,0,0,292,0.0
0,0,0,0,293,0.0
0,0,0,0,294,0.0
313,0.034142,0,0,0,0
314,0.031996,0,0,0,0
315,0.035429,0,0,0,0
316,0.038147,0,0,0,0
317,0.038815,0,0,0,0
0,0,0,0,295,0.0
0,0,0,0,296,0.0
0,0,0,0,297,0.0
0,0,0,0,298,0.0
0,0,0,0,299,0.0
318,0.03233,0,0,0,0
319,0.034714,0,0,0,0
320,0.038958,0,0,0,0
321,0.041771,0,0,0,0
322,0.037336,0,0,0,0
0,0,0,0,300,0.0
0,0,0,0,301,0.0
0,0,0,0,302,0.0
0,0,0,0,303,0.0
0,0,0,0,304,0.0
323,0.027514,0,0,0,0
324,0.030947,0,0,0,0
325,0.031996,0,0,0,0
326,0.035477,0,0,0,0
327,0.037336,0,0,0,0
0,0,0,0,305,0.0
0,0,0,0,306,0.0
0,0,0,0,307,0.0
0,0,0,0,308,0.0
0,0,0,0,309,0.0
328,0.025463,0,0,0,0
329,0.026035,0,0,0,0
330,0.029325,0,0,0,0
331,0.025272,0,0,0,0
332,0.02327,0,0,0,0
0,0,0,0,310,0.0
0,0,0,0,311,0.0
0,0,0,0,312,0.0
0,0,0,0,313,0.0
0,0,0,0,314,0.0
333,0.02408,0,0,0,0
334,0.019121,0,0,0,0
335,0.022316,0,0,0,0
336,0.025463,0,0,0,0
337,0.029135,0,0,0,0
0,0,0,0,315,0.0
0,0,0,0,316,0.0
0,0,0,0,317,0.0
0,0,0,0,318,0.0
0,0,0,0,319,0.0
338,0.022221,0,0,0,0
339,0.025368,0,0,0,0
340,0.028515,0,0,0,0
341,0.020599,0,0,0,0
342,0.021982,0,0,0,0
0,0,0,0,320,0.0
0,0,0,0,321,0.0
0,0,0,0,322,0.0
0,0,0,0,323,0.0
0,0,0,0,324,0.0
343,0.026226,0,0,0,0
344,0.022936,0,0,0,0
345,0.029373,0,0,0,0
346,0.028038,0,0,0,0
347,0.024939,0,0,0,0
0,0,0,0,325,0.0
0,0,0,0,326,0.0
0,0,0,0,327,0.0
0,0,0,0,328,0.0
0,0,0,0,329,0.0
348,0.014448,0,0,0,0
349,0.014734,0,0,0,0
350,0.01874,0,0,0,0
351,0.020933,0,0,0,0
352,0.023079,0,0,0,0
0,0,0,0,330,0.0
0,0,0,0,331,0.0
0,0,0,0,332,0.0
0,0,0,0,333,0.0
0,0,0,0,334,0.0
353,0.029564,0,0,0,0
354,0.027609,0,0,0,0
355,0.023127,0,0,0,0
356,0.02141,0,0,0,0
357,0.0247,0,0,0,0
0,0,0,0,335,0.0
0,0,0,0,336,0.0
0,0,0,0,337,0.0
0,0,0,0,338,0.0
0,0,0,0,339,0.0
358,0.020075,0,0,0,0
359,0.02656,0,0,0,0
360,0.030756,0,0,0,0
361,0.029135,0,0,0,0
362,0.020504,0,0,0,0
0,0,0,0,340,0.0
0,0,0,0,341,0.0
0,0,0,0,342,0.0
0,0,0,0,343,0.0
0,0,0,0,344,0.0
363,0.02327,0,0,0,0
364,0.021887,0,0,0,0
365,0.028515,0,0,0,0
366,0.022268,0,0,0,0
367,0.021696,0,0,0,0
0,0,0,0,345,0.0
0,0,0,0,346,0.0
0,0,0,0,347,0.0
0,0,0,0,348,0.0
0,0,0,0,349,0.0
368,0.027037,0,0,0,0
369,0.028467,0,0,0,0
370,0.029707,0,0,0,0
371,0.028372,0,0,0,0
372,0.024939,0,0,0,0
0,0,0,0,350,0.0
0,0,0,0,351,0.0
0,0,0,0,352,0.0
0,0,0,0,353,0.0
0,0,0,0,354,0.0
373,0.021839,0,0,0,0
374,0.024605,0,0,0,0
375,0.026655,0,0,0,0
376,0.028229,0,0,0,0
377,0.02594,0,0,0,0
0,0,0,0,355,0.0
0,0,0,0,356,0.0
0,0,0,0,357,0.0
0,0,0,0,358,0.0
0,0,0,0,359,0.0
378,0.022697,0,0,0,0
379,0.019073,0,0,0,0
380,0.01893,0,0,0,0
381,0.020933,0,0,0,0
382,0.020695,0,0,0,0
0,0,0,0,360,0.0
0,0,0,0,361,0.0
0,0,0,0,362,0.0
0,0,0,0,363,0.0
0,0,0,0,364,0.0
383,0.016499,0,0,0,0
384,0.020361,0,0,0,0
385,0.019836,0,0,0,0
386,0.019073,0,0,0,0
387,0.01893,0,0,0,0
0,0,0,0,365,0.0
0,0,0,0,366,0.0
0,0,0,0,367,0.0
0,0,0,0,368,0.0
0,0,0,0,369,0.0
388,0.019693,0,0,0,0
389,0.022125,0,0,0,0
390,0.022459,0,0,0,0
391,0.021601,0,0,0,0
392,0.012445,0,0,0,0
0,0,0,0,370,0.0
0,0,0,0,371,0.0
0,0,0,0,372,0.0
0,0,0,0,373,0.0
0,0,0,0,374,0.0
393,0.020266,0,0,0,0
394,0.018692,0,0,0,0
395,0.021267,0,0,0,0
396,0.023079,0,0,0,0
397,0.016737,0,0,0,0
0,0,0,0,375,0.0
0,0,0,0,376,0.0
0,0,0,0,377,0.0
0,0,0,0,378,0.0
0,0,0,0,379,0.0
398,0.020456,0,0,0,0
399,0.013971,0,0,0,0
400,0.017262,0,0,0,0
