0,-1.085806,0,0,0,0
1310,0.691414,0,0,0,0
1311,-0.321245,0,0,0,0
1312,-0.72279,0,0,0,0
1313,1.290798,0,0,0,0
1314,1.474476,0,0,0,0
0,0,0,0,1575,0.0
0,0,0,0,1576,0.0
0,0,0,0,1577,0.0
0,0,0,0,1578,0.0
0,0,0,0,1579,0.0
1315,0.776672,0,0,0,0
1316,-1.33357,0,0,0,0
1317,-0.096893,0,0,0,0
1318,1.128769,0,0,0,0
1319,0.692797,0,0,0,0
0,0,0,0,1580,0.0
0,0,0,0,1581,0.0
0,0,0,0,1582,0.0
0,0,0,0,1583,0.0
0,0,0,0,1584,0.0
1320,-1.229954,0,0,0,0
1321,-1.022863,0,0,0,0
1322,0.802088,0,0,0,0
1323,0.433922,0,0,0,0
1324,0.383377,0,0,0,0
0,0,0,0,1585,0.0
0,0,0,0,1586,0.0
0,0,0,0,1587,0.0
0,0,0,0,1588,0.0
0,0,0,0,1589,0.0
1325,-1.929522,0,0,0,0
1326,0.221872,0,0,0,0
1327,0.716066,0,0,0,0
1328,0.149202,0,0,0,0
1329,-0.875235,0,0,0,0
0,0,0,0,1590,0.0
0,0,0,0,1591,0.0
0,0,0,0,1592,0.0
0,0,0,0,1593,0.0
0,0,0,0,1594,0.0
1330,-0.605583,0,0,0,0
1331,1.769924,0,0,0,0
1332,1.248264,0,0,0,0
1333,0.09346,0,0,0,0
1334,-1.725864,0,0,0,0
0,0,0,0,1595,0.0
0,0,0,0,1596,0.0
0,0,0,0,1597,0.0
0,0,0,0,1598,0.0
0,0,0,0,1599,0.0
1335,1.121426,0,0,0,0
1336,1.207638,0,0,0,0
1337,0.933599,0,0,0,0
1338,-1.005983,0,0,0,0
1339,-1.296091,0,0,0,0
0,0,0,0,1600,0.0
0,0,0,0,1601,0.0
0,0,0,0,1602,0.0
0,0,0,0,1603,0.0
0,0,0,0,1604,0.0
1340,1.483679,0,0,0,0
1341,0.791645,0,0,0,0
1342,-0.295496,0,0,0,0
1343,-1.849031,0,0,0,0
1344,0.351667,0,0,0,0
0,0,0,0,1605,0.0
0,0,0,0,1606,0.0
0,0,0,0,1607,0.0
0,0,0,0,1608,0.0
0,0,0,0,1609,0.0
1345,0.488615,0,0,0,0
1346,0.053406,0,0,0,0
1347,-1.576138,0,0,0,0
1348,-1.214361,0,0,0,0
1349,0.852156,0,0,0,0
0,0,0,0,1610,0.0
0,0,0,0,1611,0.0
0,0,0,0,1612,0.0
0,0,0,0,1613,0.0
0,0,0,0,1614,0.0
1350,0.763512,0,0,0,0
1351,-0.81501,0,0,0,0
1352,-1.752377,0,0,0,0
1353,0.548077,0,0,0,0
1354,1.15633,0,0,0,0
0,0,0,0,1615,0.0
0,0,0,0,1616,0.0
0,0,0,0,1617,0.0
0,0,0,0,1618,0.0
0,0,0,0,1619,0.0
1355,-0.062132,0,0,0,0
1356,-1.858521,0,0,0,0
1357,0.234318,0,0,0,0
1358,1.848459,0,0,0,0
1359,0.995636,0,0,0,0
0,0,0,0,1620,0.0
0,0,0,0,1621,0.0
0,0,0,0,1622,0.0
0,0,0,0,1623,0.0
0,0,0,0,1624,0.0
1360,-1.658678,0,0,0,0
1361,-0.89159,0,0,0,0
1362,1.141977,0,0,0,0
1363,0.592375,0,0,0,0
1364,0.739574,0,0,0,0
0,0,0,0,1625,0.0
0,0,0,0,1626,0.0
0,0,0,0,1627,0.0
0,0,0,0,1628,0.0
0,0,0,0,1629,0.0
1365,-1.832676,0,0,0,0
1366,0.585747,0,0,0,0
1367,1.400852,0,0,0,0
1368,0.919533,0,0,0,0
1369,-0.37775,0,0,0,0
0,0,0,0,1630,0.0
0,0,0,0,1631,0.0
0,0,0,0,1632,0.0
0,0,0,0,1633,0.0
0,0,0,0,1634,0.0
1370,-0.529289,0,0,0,0
1371,1.391888,0,0,0,0
1372,1.544666,0,0,0,0
1373,0.699377,0,0,0,0
1374,-1.565695,0,0,0,0
0,0,0,0,1635,0.0
0,0,0,0,1636,0.0
0,0,0,0,1637,0.0
0,0,0,0,1638,0.0
0,0,0,0,1639,0.0
1375,1.382971,0,0,0,0
1376,0.801325,0,0,0,0
1377,-0.043011,0,0,0,0
1378,-2.085352,0,0,0,0
1379,-0.304174,0,0,0,0
0,0,0,0,1640,0.0
0,0,0,0,1641,0.0
0,0,0,0,1642,0.0
0,0,0,0,1643,0.0
0,0,0,0,1644,0.0
1380,1.353884,0,0,0,0
1381,0.540781,0,0,0,0
1382,-1.992512,0,0,0,0
1383,-0.650549,0,0,0,0
1384,1.618671,0,0,0,0
0,0,0,0,1645,0.0
0,0,0,0,1646,0.0
0,0,0,0,1647,0.0
0,0,0,0,1648,0.0
0,0,0,0,1649,0.0
1385,0.622892,0,0,0,0
1386,-1.015091,0,0,0,0
1387,-1.541996,0,0,0,0
1388,0.649786,0,0,0,0
1389,0.82612,0,0,0,0
0,0,0,0,1650,0.0
0,0,0,0,1651,0.0
0,0,0,0,1652,0.0
0,0,0,0,1653,0.0
0,0,0,0,1654,0.0
1390,0.009489,0,0,0,0
1391,-1.391029,0,0,0,0
1392,0.250959,0,0,0,0
1393,1.413774,0,0,0,0
1394,1.536465,0,0,0,0
0,0,0,0,1655,0.0
0,0,0,0,1656,0.0
0,0,0,0,1657,0.0
0,0,0,0,1658,0.0
0,0,0,0,1659,0.0
1395,-1.621819,0,0,0,0
1396,-0.964832,0,0,0,0
1397,1.463699,0,0,0,0
1398,1.227713,0,0,0,0
1399,0.402403,0,0,0,0
0,0,0,0,1660,0.0
0,0,0,0,1661,0.0
0,0,0,0,1662,0.0
0,0,0,0,1663,0.0
0,0,0,0,1664,0.0
1400,-1.889849,0,0,0,0
1401,-0.094891,0,0,0,0
1402,0.807333,0,0,0,0
1403,1.626253,0,0,0,0
1404,0.300598,0,0,0,0
0,0,0,0,1665,0.0
0,0,0,0,1666,0.0
0,0,0,0,1667,0.0
0,0,0,0,1668,0.0
0,0,0,0,1669,0.0
1405,-0.148726,0,0,0,0
1406,1.561117,0,0,0,0
1407,1.365089,0,0,0,0
1408,0.890303,0,0,0,0
1409,-0.668049,0,0,0,0
0,0,0,0,1670,0.0
0,0,0,0,1671,0.0
0,0,0,0,1672,0.0
0,0,0,0,1673,0.0
0,0,0,0,1674,0.0
1410,1.560783,0,0,0,0
1411,1.268911,0,0,0,0
1412,0.697851,0,0,0,0
1413,-1.09334,0,0,0,0
1414,-1.406145,0,0,0,0
0,0,0,0,1675,0.0
0,0,0,0,1676,0.0
0,0,0,0,1677,0.0
0,0,0,0,1678,0.0
0,0,0,0,1679,0.0
1415,1.486635,0,0,0,0
1416,1.122236,0,0,0,0
1417,-0.567579,0,0,0,0
1418,-1.969433,0,0,0,0
1419,0.748634,0,0,0,0
0,0,0,0,1680,0.0
0,0,0,0,1681,0.0
0,0,0,0,1682,0.0
0,0,0,0,1683,0.0
0,0,0,0,1684,0.0
1420,1.459169,0,0,0,0
1421,0.952101,0,0,0,0
1422,-1.241684,0,0,0,0
1423,-0.490093,0,0,0,0
1424,1.446629,0,0,0,0
0,0,0,0,1685,0.0
0,0,0,0,1686,0.0
0,0,0,0,1687,0.0
0,0,0,0,1688,0.0
0,0,0,0,1689,0.0
1425,0.754118,0,0,0,0
1426,-0.951767,0,0,0,0
1427,-1.42684,0,0,0,0
1428,1.139688,0,0,0,0
1429,1.554632,0,0,0,0
0,0,0,0,1690,0.0
0,0,0,0,1691,0.0
0,0,0,0,1692,0.0
0,0,0,0,1693,0.0
0,0,0,0,1694,0.0
1430,0.268364,0,0,0,0
1431,-2.016592,0,0,0,0
1432,-0.481081,0,0,0,0
1433,1.585436,0,0,0,0
1434,1.420689,0,0,0,0
0,0,0,0,1695,0.0
0,0,0,0,1696,0.0
0,0,0,0,1697,0.0
0,0,0,0,1698,0.0
0,0,0,0,1699,0.0
1435,-1.344395,0,0,0,0
1436,-1.054668,0,0,0,0
1437,1.074648,0,0,0,0
1438,1.133728,0,0,0,0
1439,1.161528,0,0,0,0
0,0,0,0,1700,0.0
0,0,0,0,1701,0.0
0,0,0,0,1702,0.0
0,0,0,0,1703,0.0
0,0,0,0,1704,0.0
1440,-1.164532,0,0,0,0
1441,0.985336,0,0,0,0
1442,1.156664,0,0,0,0
1443,1.225519,0,0,0,0
1444,-0.381708,0,0,0,0
0,0,0,0,1705,0.0
0,0,0,0,1706,0.0
0,0,0,0,1707,0.0
0,0,0,0,1708,0.0
0,0,0,0,1709,0.0
1445,-0.08769,0,0,0,0
1446,1.380634,0,0,0,0
1447,0.746298,0,0,0,0
1448,0.859833,0,0,0,0
1449,-0.875807,0,0,0,0
0,0,0,0,1710,0.0
0,0,0,0,1711,0.0
0,0,0,0,1712,0.0
0,0,0,0,1713,0.0
0,0,0,0,1714,0.0
1450,1.182079,0,0,0,0
1451,1.291847,0,0,0,0
1452,1.066065,0,0,0,0
1453,-1.021767,0,0,0,0
1454,-1.401234,0,0,0,0
0,0,0,0,1715,0.0
0,0,0,0,1716,0.0
0,0,0,0,1717,0.0
0,0,0,0,1718,0.0
0,0,0,0,1719,0.0
0,0,212,343.221426,0,0
0,0,213,435.815255,0,0
0,0,214,512.947639,0,0
0,0,215,520.83234,0,0
0,0,0,0,1720,0.0
0,0,0,0,1721,0.0
0,0,0,0,1722,0.0
0,0,0,0,1723,0.0
0,0,0,0,1724,0.0
0,0,216,520.202518,0,0
0,0,217,520.289938,0,0
0,0,218,519.868731,0,0
0,0,219,519.805153,0,0
0,0,0,0,1725,0.0
0,0,0,0,1726,0.0
0,0,0,0,1727,0.0
0,0,0,0,1728,0.0
0,0,0,0,1729,0.0
0,0,220,519.805153,0,0
0,0,221,519.805153,0,0
0,0,222,519.805153,0,0
0,0,223,519.805153,0,0
0,0,0,0,1730,0.0
0,0,0,0,1731,0.0
0,0,0,0,1732,0.0
0,0,0,0,1733,0.0
0,0,0,0,1734,0.0
0,0,224,519.805153,0,0
0,0,225,519.805153,0,0
0,0,226,519.805153,0,0
0,0,227,519.805153,0,0
0,0,0,0,1735,0.0
0,0,0,0,1736,0.0
0,0,0,0,1737,0.0
0,0,0,0,1738,0.0
0,0,0,0,1739,0.0
0,0,228,519.805153,0,0
0,0,229,519.805153,0,0
0,0,230,519.805153,0,0
0,0,231,519.805153,0,0
0,0,0,0,1740,0.0
0,0,0,0,1741,0.0
0,0,0,0,1742,0.0
0,0,0,0,1743,0.0
0,0,0,0,1744,0.0
0,0,232,519.805153,0,0
0,0,233,519.805153,0,0
0,0,234,519.805153,0,0
0,0,235,519.805153,0,0
0,0,0,0,1745,0.0
0,0,0,0,1746,0.0
0,0,0,0,1747,0.0
0,0,0,0,1748,0.0
0,0,0,0,1749,0.0
0,0,236,519.805153,0,0
0,0,237,519.805153,0,0
0,0,238,519.805153,0,0
0,0,239,519.805153,0,0
0,0,0,0,1750,0.0
0,0,0,0,1751,0.0
0,0,0,0,1752,0.0
0,0,0,0,1753,0.0
0,0,0,0,1754,0.0
0,0,240,519.805153,0,0
0,0,241,519.805153,0,0
0,0,242,519.805153,0,0
0,0,243,519.805153,0,0
0,0,0,0,1755,0.0
0,0,0,0,1756,0.0
0,0,0,0,1757,0.0
0,0,0,0,1758,0.0
0,0,0,0,1759,0.0
0,0,244,519.805153,0,0
0,0,245,519.805153,0,0
0,0,246,519.805153,0,0
0,0,247,519.805153,0,0
0,0,0,0,1760,0.0
0,0,0,0,1761,0.0
0,0,0,0,1762,0.0
0,0,0,0,1763,0.0
0,0,0,0,1764,0.0
0,0,248,519.805153,0,0
0,0,249,519.805153,0,0
0,0,250,519.805153,0,0
0,0,251,519.805153,0,0
0,0,0,0,1765,0.0
0,0,0,0,1766,0.0
0,0,0,0,1767,0.0
0,0,0,0,1768,0.0
0,0,0,0,1769,0.0
0,0,252,519.805153,0,0
0,0,253,519.805153,0,0
0,0,254,519.805153,0,0
0,0,255,519.805153,0,0
0,0,0,0,1770,0.0
0,0,0,0,1771,0.0
0,0,0,0,1772,0.0
0,0,0,0,1773,0.0
0,0,0,0,1774,0.0
0,0,256,519.805153,0,0
0,0,257,519.805153,0,0
0,0,258,519.805153,0,0
0,0,259,519.805153,0,0
0,0,0,0,1775,0.0
0,0,0,0,1776,0.0
0,0,0,0,1777,0.0
0,0,0,0,1778,0.0
0,0,0,0,1779,0.0
0,0,260,519.805153,0,0
0,0,261,519.805153,0,0
0,0,262,519.805153,0,0
0,0,263,519.805153,0,0
0,0,0,0,1780,0.0
0,0,0,0,1781,0.0
0,0,0,0,1782,0.0
0,0,0,0,1783,0.0
0,0,0,0,1784,0.0
0,0,264,519.805153,0,0
0,0,265,519.805153,0,0
0,0,266,519.805153,0,0
0,0,267,519.805153,0,0
0,0,0,0,1785,0.0
0,0,0,0,1786,0.0
0,0,0,0,1787,0.0
0,0,0,0,1788,0.0
0,0,0,0,1789,0.0
0,0,268,519.805153,0,0
0,0,269,519.805153,0,0
0,0,270,519.805153,0,0
0,0,271,519.805153,0,0
0,0,0,0,1790,0.0
0,0,0,0,1791,0.0
0,0,0,0,1792,0.0
0,0,0,0,1793,0.0
0,0,0,0,1794,0.0
0,0,272,519.805153,0,0
0,0,273,519.805153,0,0
0,0,274,519.805153,0,0
0,0,275,519.805153,0,0
0,0,0,0,1795,0.0
0,0,0,0,1796,0.0
0,0,0,0,1797,0.0
0,0,0,0,1798,0.0
0,0,0,0,1799,0.0
0,0,276,519.805153,0,0
0,0,277,519.805153,0,0
0,0,278,519.805153,0,0
0,0,279,519.805153,0,0
0,0,0,0,1800,0.0
0,0,0,0,1801,0.0
0,0,0,0,1802,0.0
0,0,0,0,1803,0.0
0,0,0,0,1804,0.0
0,0,280,519.805153,0,0
0,0,281,519.805153,0,0
0,0,282,519.805153,0,0
0,0,283,519.805153,0,0
0,0,0,0,1805,0.0
0,0,0,0,1806,0.0
0,0,0,0,1807,0.0
0,0,0,0,1808,0.0
0,0,0,0,1809,0.0
0,0,284,519.805153,0,0
0,0,285,519.805153,0,0
0,0,286,519.805153,0,0
0,0,287,519.805153,0,0
0,0,0,0,1810,0.0
0,0,0,0,1811,0.0
0,0,0,0,1812,0.0
0,0,0,0,1813,0.0
0,0,0,0,1814,0.0
0,0,288,519.805153,0,0
0,0,289,519.805153,0,0
0,0,290,519.805153,0,0
0,0,291,519.805153,0,0
0,0,0,0,1815,0.0
0,0,0,0,1816,0.0
0,0,0,0,1817,0.0
0,0,0,0,1818,0.0
0,0,0,0,1819,0.0
0,0,292,519.805153,0,0
0,0,293,519.805153,0,0
0,0,294,519.805153,0,0
0,0,295,519.805153,0,0
0,0,0,0,1820,0.0
0,0,0,0,1821,0.0
0,0,0,0,1822,0.0
0,0,0,0,1823,0.0
0,0,0,0,1824,0.0
0,0,296,519.805153,0,0
0,0,297,519.805153,0,0
0,0,298,519.805153,0,0
0,0,299,519.805153,0,0
0,0,0,0,1825,0.0
0,0,0,0,1826,0.0
0,0,0,0,1827,0.0
0,0,0,0,1828,0.0
0,0,0,0,1829,0.0
0,0,300,519.805153,0,0
0,0,301,519.805153,0,0
0,0,302,519.805153,0,0
0,0,303,519.805153,0,0
0,0,0,0,1830,0.0
0,0,0,0,1831,0.0
0,0,0,0,1832,0.0
0,0,0,0,1833,0.0
0,0,0,0,1834,0.0
0,0,304,519.805153,0,0
0,0,305,519.805153,0,0
0,0,306,519.805153,0,0
0,0,307,519.805153,0,0
0,0,0,0,1835,0.0
0,0,0,0,1836,0.0
0,0,0,0,1837,0.0
0,0,0,0,1838,0.0
0,0,0,0,1839,0.0
0,0,308,519.805153,0,0
0,0,309,519.805153,0,0
0,0,310,519.805153,0,0
0,0,311,519.805153,0,0
0,0,0,0,1840,0.0
0,0,0,0,1841,0.0
0,0,0,0,1842,0.0
0,0,0,0,1843,0.0
0,0,0,0,1844,0.0
0,0,312,519.805153,0,0
0,0,313,519.805153,0,0
0,0,314,519.805153,0,0
0,0,315,519.805153,0,0
0,0,0,0,1845,0.0
0,0,0,0,1846,0.0
0,0,0,0,1847,0.0
0,0,0,0,1848,0.0
0,0,0,0,1849,0.0
0,0,316,519.805153,0,0
0,0,317,519.805153,0,0
0,0,318,519.805153,0,0
0,0,319,519.805153,0,0
0,0,0,0,1850,0.0
0,0,0,0,1851,0.0
0,0,0,0,1852,0.0
0,0,0,0,1853,0.0
0,0,0,0,1854,0.0
0,0,320,519.805153,0,0
0,0,321,519.805153,0,0
0,0,322,519.805153,0,0
0,0,323,519.805153,0,0
0,0,0,0,1855,0.0
0,0,0,0,1856,0.0
0,0,0,0,1857,0.0
0,0,0,0,1858,0.0
0,0,0,0,1859,0.0
0,0,324,519.805153,0,0
0,0,325,519.805153,0,0
0,0,326,519.805153,0,0
0,0,327,519.805153,0,0
0,0,0,0,1860,0.0
0,0,0,0,1861,0.0
0,0,0,0,1862,0.0
0,0,0,0,1863,0.0
0,0,0,0,1864,0.0
0,0,328,519.805153,0,0
0,0,329,519.805153,0,0
0,0,330,519.805153,0,0
0,0,331,519.805153,0,0
0,0,0,0,1865,0.0
0,0,0,0,1866,0.0
0,0,0,0,1867,0.0
0,0,0,0,1868,0.0
0,0,0,0,1869,0.0
0,0,332,519.805153,0,0
0,0,333,519.805153,0,0
0,0,334,519.805153,0,0
0,0,335,519.805153,0,0
0,0,0,0,1870,0.0
0,0,0,0,1871,0.0
0,0,0,0,1872,0.0
0,0,0,0,1873,0.0
0,0,0,0,1874,0.0
0,0,336,519.805153,0,0
0,0,337,519.805153,0,0
0,0,338,519.805153,0,0
0,0,339,519.805153,0,0
0,0,0,0,1875,0.0
0,0,0,0,1876,0.0
0,0,0,0,1877,0.0
0,0,0,0,1878,0.0
0,0,0,0,1879,0.0
0,0,340,519.805153,0,0
0,0,341,519.805153,0,0
0,0,342,519.805153,0,0
0,0,343,519.805153,0,0
0,0,0,0,1880,0.0
0,0,0,0,1881,0.0
0,0,0,0,1882,0.0
0,0,0,0,1883,0.0
0,0,0,0,1884,0.0
0,0,344,519.805153,0,0
0,0,345,519.805153,0,0
0,0,346,519.805153,0,0
0,0,347,519.805153,0,0
0,0,0,0,1885,0.0
0,0,0,0,1886,0.0
0,0,0,0,1887,0.0
0,0,0,0,1888,0.0
0,0,0,0,1889,0.0
0,0,348,519.805153,0,0
0,0,349,519.805153,0,0
0,0,350,519.805153,0,0
0,0,351,519.805153,0,0
0,0,0,0,1890,0.0
0,0,0,0,1891,0.0
0,0,0,0,1892,0.0
0,0,0,0,1893,0.0
0,0,0,0,1894,0.0
0,0,352,519.805153,0,0
0,0,353,519.805153,0,0
0,0,354,519.805153,0,0
0,0,355,519.805153,0,0
0,0,0,0,1895,0.0
0,0,0,0,1896,0.0
0,0,0,0,1897,0.0
0,0,0,0,1898,0.0
0,0,0,0,1899,0.0
0,0,356,519.805153,0,0
0,0,357,519.805153,0,0
0,0,358,519.805153,0,0
0,0,359,519.805153,0,0
0,0,0,0,1900,0.0
0,0,0,0,1901,0.0
0,0,0,0,1902,0.0
0,0,0,0,1903,0.0
0,0,0,0,1904,0.0
0,0,360,519.805153,0,0
0,0,361,519.805153,0,0
0,0,362,519.805153,0,0
0,0,363,519.805153,0,0
0,0,0,0,1905,0.0
0,0,0,0,1906,0.0
0,0,0,0,1907,0.0
0,0,0,0,1908,0.0
0,0,0,0,1909,0.0
0,0,364,519.805153,0,0
0,0,365,519.805153,0,0
0,0,366,519.805153,0,0
0,0,367,519.805153,0,0
0,0,0,0,1910,0.0
0,0,0,0,1911,0.0
0,0,0,0,1912,0.0
0,0,0,0,1913,0.0
0,0,0,0,1914,0.0
0,0,368,519.805153,0,0
0,0,369,519.805153,0,0
0,0,370,519.805153,0,0
0,0,371,519.805153,0,0
0,0,0,0,1915,0.0
0,0,0,0,1916,0.0
0,0,0,0,1917,0.0
0,0,0,0,1918,0.0
0,0,0,0,1919,0.0
0,0,372,519.805153,0,0
0,0,373,519.805153,0,0
0,0,374,519.805153,0,0
0,0,375,519.805153,0,0
0,0,0,0,1920,0.0
0,0,0,0,1921,0.0
0,0,0,0,1922,0.0
0,0,0,0,1923,0.0
0,0,0,0,1924,0.0
0,0,376,519.805153,0,0
0,0,377,519.805153,0,0
0,0,378,519.805153,0,0
0,0,379,519.805153,0,0
0,0,0,0,1925,0.0
0,0,0,0,1926,0.0
0,0,0,0,1927,0.0
0,0,0,0,1928,0.0
0,0,0,0,1929,0.0
0,0,380,519.805153,0,0
0,0,381,519.805153,0,0
0,0,382,519.805153,0,0
0,0,383,519.805153,0,0
0,0,0,0,1930,0.0
0,0,0,0,1931,0.0
0,0,0,0,1932,0.0
0,0,0,0,1933,0.0
0,0,0,0,1934,0.0
0,0,384,519.805153,0,0
0,0,385,519.805153,0,0
0,0,386,519.805153,0,0
0,0,387,519.805153,0,0
0,0,0,0,1935,0.0
0,0,0,0,1936,0.0
0,0,0,0,1937,0.0
0,0,0,0,1938,0.0
0,0,0,0,1939,0.0
0,0,388,519.805153,0,0
0,0,389,519.805153,0,0
0,0,390,519.805153,0,0
0,0,391,519.805153,0,0
0,0,0,0,1940,0.0
0,0,0,0,1941,0.0
0,0,0,0,1942,0.0
0,0,0,0,1943,0.0
0,0,0,0,1944,0.0
0,0,392,519.805153,0,0
0,0,393,519.805153,0,0
0,0,394,519.805153,0,0
0,0,395,519.805153,0,0
0,0,0,0,1945,0.0
0,0,0,0,1946,0.0
0,0,0,0,1947,0.0
0,0,0,0,1948,0.0
0,0,0,0,1949,0.0
0,0,396,519.805153,0,0
0,0,397,519.805153,0,0
0,0,398,519.805153,0,0
0,0,399,519.805153,0,0
0,0,0,0,1950,0.0
0,0,0,0,1951,0.0
0,0,0,0,1952,0.0
0,0,0,0,1953,0.0
0,0,0,0,1954,0.0
0,0,400,519.805153,0,0
0,0,401,519.805153,0,0
0,0,402,519.805153,0,0
0,0,403,519.805153,0,0
0,0,0,0,1955,0.0
0,0,0,0,1956,0.0
0,0,0,0,1957,0.0
0,0,0,0,1958,0.0
0,0,0,0,1959,0.0
0,0,404,519.805153,0,0
0,0,405,519.805153,0,0
0,0,406,519.805153,0,0
0,0,407,519.805153,0,0
0,0,0,0,1960,0.0
0,0,0,0,1961,0.0
0,0,0,0,1962,0.0
0,0,0,0,1963,0.0
0,0,0,0,1964,0.0
0,0,408,519.805153,0,0
0,0,409,519.805153,0,0
0,0,410,519.805153,0,0
0,0,411,519.805153,0,0
0,0,0,0,1965,0.0
0,0,0,0,1966,0.0
0,0,0,0,1967,0.0
0,0,0,0,1968,0.0
0,0,0,0,1969,0.0
0,0,412,519.805153,0,0
0,0,413,519.805153,0,0
0,0,414,519.805153,0,0
0,0,415,519.805153,0,0
